token,n_docs_present,n_docs_absent,prevalence,prevalence_pct,mean_outcome_present,mean_outcome_absent,delta_outcome,delta_pct_points,ci_low_outcome,ci_high_outcome,ci_low_pct_points,ci_high_pct_points,t_stat,df_welch,p_value,r_point_biserial,q_value,significant_fdr_05,abs_delta_pct_points
women,903,5270,0.14628219666288678,14.628219666288677,0.568076709189666,0.342534432585171,0.225542276604495,22.5542276604495,0.19654601045686826,0.25453854275212173,19.654601045686825,25.453854275212173,15.260921533602913,1177.1094147783178,4.0800396423369496e-48,0.20209946914717364,6.800066070561584e-45,True,22.5542276604495
practice,3638,2535,0.5893406771423942,58.934067714239426,0.4349506275289673,0.2902482623951624,0.1447023651338049,14.470236513380492,0.12525574412383614,0.16414898614377368,12.525574412383614,16.414898614377368,14.587213197532899,5667.400845095589,2.421995960696272e-47,0.18050281904282986,2.421995960696272e-44,True,14.470236513380492
social,2634,3539,0.4266969058804471,42.66969058804471,0.45440371878917984,0.316821229960842,0.13758248882833785,13.758248882833785,0.11772172627349062,0.15744325138318507,11.772172627349061,15.744325138318507,13.580418045786288,5375.058610300799,2.4990072574778005e-41,0.17254379991286406,1.2495036287389002e-38,True,13.758248882833785
professionals,1370,4803,0.22193422971002755,22.193422971002754,0.5040402906096336,0.3388703997474331,0.16516989086220052,16.51698908622005,0.14102597516232407,0.18931380656207697,14.102597516232407,18.931380656207697,13.415927220101823,2108.035063625142,1.9284588472929363e-39,0.17403455570315068,8.035245197053902e-37,True,16.51698908622005
children,1491,4682,0.24153572007127816,24.153572007127817,0.4960220307302803,0.337155249957982,0.15886678077229827,15.886678077229826,0.13525099583199723,0.1824825657125993,13.525099583199724,18.24825657125993,13.191746943447964,2352.3952162531455,2.180724825117717e-38,0.17241524029888655,8.387403173529682e-36,True,15.886678077229826
training,2519,3654,0.40806739024785355,40.80673902478536,0.4514719302134943,0.3231723962546052,0.1282995339588891,12.82995339588891,0.10830369970139786,0.14829536821638034,10.830369970139786,14.829536821638033,12.578677013096774,5188.43481905598,9.159145334209293e-36,0.1598863779739505,2.862232916940404e-33,True,12.82995339588891
education,2018,4155,0.32690750040498945,32.69075004049895,0.4626467038632549,0.3332150853733023,0.1294316184899526,12.94316184899526,0.10824302812894254,0.15062020885096267,10.824302812894254,15.062020885096267,11.976380362208184,3777.5884665613444,1.816456531526381e-32,0.15394816159159821,4.128310298923593e-30,True,12.94316184899526
experiences,979,5194,0.15859387655920945,15.859387655920946,0.5202028308769883,0.34825782762679014,0.17194500325019813,17.194500325019813,0.14364821559753238,0.20024179090286387,14.364821559753238,20.02417909028639,11.920754415809391,1304.2073631343976,3.594184622667941e-31,0.1592648395328145,6.911893505130656e-29,True,17.194500325019813
awareness,2005,4168,0.3248015551595658,32.48015551595658,0.4608000353760952,0.3345071154493879,0.12629291992670733,12.629291992670733,0.10489879745434857,0.14768704239906608,10.489879745434857,14.768704239906608,11.573791973157318,3675.09521869885,1.875589909963051e-30,0.14996436680777947,3.4733146480797237e-28,True,12.629291992670733
community,2513,3660,0.4070954155191965,40.70954155191965,0.44446541542641815,0.3281934806435876,0.11627193478283054,11.627193478283054,0.09621509945162225,0.13632877011403882,9.621509945162225,13.632877011403883,11.36481282735313,5168.951476476833,1.4014547325674762e-29,0.1448437354023372,2.33575788761246e-27,True,11.627193478283054
learning,1837,4336,0.2975862627571683,29.758626275716832,0.4633284259441036,0.33832919964547997,0.12499922629862364,12.499922629862365,0.10318005647804744,0.14681839611919986,10.318005647804744,14.681839611919987,11.23252658704253,3280.560053692155,9.388071399759413e-29,0.1449087365725794,1.466886156212408e-26,True,12.499922629862365
participants,1539,4634,0.24931151790053457,24.93115179005346,0.4735739749384974,0.34296490735687785,0.13060906758161955,13.060906758161956,0.107394878958159,0.1538232562050801,10.7394878958159,15.382325620508011,11.032600303759953,2504.0190862789054,1.1416863269707715e-27,0.14327112920121918,1.6309804671011022e-25,True,13.060906758161956
families,820,5353,0.13283654624979752,13.283654624979752,0.5200056752190899,0.3533953062661061,0.1666103689529838,16.66103689529838,0.13700825390254343,0.1962124840034242,13.700825390254343,19.62124840034242,11.043889607656395,1063.1958826336806,6.397793075709535e-27,0.14338232030672912,8.418148783828336e-25,True,16.66103689529838
