token,n_docs_present,n_docs_absent,prevalence,prevalence_pct,mean_outcome_present,mean_outcome_absent,delta_outcome,delta_pct_points,ci_low_outcome,ci_high_outcome,ci_low_pct_points,ci_high_pct_points,t_stat,df_welch,p_value,r_point_biserial,q_value,significant_fdr_05,abs_delta_pct_points
product,1093,5038,0.17827434350024465,17.827434350024465,0.2276415607852817,0.4081455577830443,-0.1805039969977626,-18.05039969977626,-0.2025023674060813,-0.1585056265894439,-20.25023674060813,-15.850562658944389,-16.092345388262487,1912.4632540633145,9.616060748461595e-55,-0.17538618934113392,2.4040151871153986e-51,True,18.05039969977626
technology,1718,4413,0.28021529929864625,28.021529929864624,0.2587102135996199,0.4216146383605582,-0.1629044247609383,-16.29044247609383,-0.18300356138993007,-0.14280528813194654,-18.300356138993006,-14.280528813194653,-15.890860241907461,3655.053638995156,4.9077757806827975e-55,-0.18572947476361315,2.4040151871153986e-51,True,16.29044247609383
companies,1312,4819,0.21399445441200457,21.399445441200456,0.24807392723349503,0.4107857550360956,-0.16271182780260057,-16.27118278026006,-0.18411929487516418,-0.14130436073003697,-18.411929487516417,-14.130436073003697,-14.904523379358805,2432.340716446229,3.843424254717921e-48,-0.16940799825687253,4.804280318397401e-45,True,16.27118278026006
ltd,699,5432,0.11401076496493232,11.401076496493232,0.21341150107244528,0.396884187555164,-0.18347268648271875,-18.347268648271875,-0.20777230184254658,-0.15917307112289092,-20.77723018425466,-15.917307112289091,-14.815465369609692,1062.1148458197504,2.7761445745132088e-45,-0.1480332571957047,2.313453812094341e-42,True,18.347268648271875
commercial,1343,4788,0.21905072581960527,21.90507258196053,0.25469893872804295,0.40998096728018557,-0.15528202855214263,-15.528202855214262,-0.17663661881619935,-0.1339274382880859,-17.663661881619934,-13.39274382880859,-14.25895117675035,2509.221386475903,2.043283092430259e-44,-0.16304432214847617,1.4594879231644707e-41,True,15.528202855214262
company,1789,4342,0.29179579187734467,29.17957918773447,0.27339181996811956,0.4182292906785639,-0.14483747071044434,-14.483747071044434,-0.1650337281964127,-0.12464121322447595,-16.50337281964127,-12.464121322447594,-14.060361520864252,3799.677139836887,8.195754188111744e-44,-0.16714770519048602,5.12234636756984e-41,True,14.483747071044434
products,1150,4981,0.18757135866905889,18.757135866905887,0.24628370904457864,0.40590710312146655,-0.15962339407688791,-15.962339407688791,-0.18183487892993314,-0.1374119092238427,-18.183487892993313,-13.74119092238427,-14.09386301420375,1999.2226907201782,4.4511244673540265e-43,-0.15818785549026335,2.4728469263077925e-40,True,15.962339407688791
manufacturing,382,5749,0.06230631218398304,6.230631218398304,0.16847429039837414,0.38975341226597865,-0.2212791218676045,-22.12791218676045,-0.2500701721338856,-0.1924880716013234,-25.00701721338856,-19.24880716013234,-15.100227159754478,500.0384727530248,1.0210866127197759e-42,-0.13578058689457445,5.105433063598879e-40,True,22.12791218676045
market,1375,4756,0.22427010275648346,22.427010275648346,0.26078788080606263,0.40926539317513755,-0.14847751236907492,-14.847751236907492,-0.17010082262900889,-0.12685420210914095,-17.010082262900887,-12.685420210914094,-13.464652200942021,2521.154671914107,5.86671221717152e-40,-0.1572180340019298,2.444463423821467e-37,True,14.847751236907492
industry,1807,4324,0.2947316914043386,29.473169140433857,0.28289465765029675,0.41486098512377517,-0.13196632747347842,-13.196632747347842,-0.15225722721744692,-0.11167542772950992,-15.225722721744692,-11.167542772950991,-12.751099274152239,3817.691492659994,1.6898128548935708e-36,-0.1527405872891171,5.6327095163119025e-34,True,13.196632747347842
engineering,603,5528,0.09835263415429783,9.835263415429782,0.21493069764214043,0.3935322603782705,-0.17860156273613007,-17.860156273613008,-0.2054518009186647,-0.15175132455359544,-20.54518009186647,-15.175132455359543,-13.056113116394986,836.6807528984061,1.3622767358181212e-35,-0.13501976080634248,4.0066962818180035e-33,True,17.860156273613008
revenue,537,5594,0.08758766922198663,8.758766922198664,0.20960703242097461,0.3919361046906019,-0.1823290722696273,-18.23290722696273,-0.21032082049896406,-0.15433732404029055,-21.032082049896406,-15.433732404029055,-12.788019653923484,721.3453545361068,6.767915228724879e-34,-0.13084999262785166,1.8799764524235774e-31,True,18.23290722696273
technologies,874,5257,0.14255423258848474,14.255423258848474,0.24079108343982486,0.3984398210239459,-0.157648737584121,-15.7648737584121,-0.1824336855778207,-0.13286378959042133,-18.24336855778207,-13.286378959042134,-12.47815305979224,1315.602100202713,7.451131763164913e-34,-0.1399215503822938,1.9608241482012929e-31,True,15.7648737584121
patent,240,5891,0.0391453270265862,3.91453270265862,0.15947751322751322,0.3847861047147661,-0.22530859148725288,-22.530859148725288,-0.2574126149273922,-0.19320456804711356,-25.74126149273922,-19.320456804711355,-13.811831985913999,295.083658362694,8.243205767199528e-34,-0.11092956022902595,2.060801441799882e-31,True,22.530859148725288
cost,1579,4552,0.2575436307290817,25.75436307290817,0.28065806721601533,0.40902690200246095,-0.12836883478644562,-12.836883478644562,-0.14903585608634318,-0.10770181348654805,-14.903585608634318,-10.770181348654804,-12.178516058115477,3194.693691489686,2.1981929961993235e-33,-0.1425020779560011,5.233792848093628e-31,True,12.836883478644562
